Entity Name,Plant Name,Plant State,County,Nameplate Capacity (MW),Technology,Latitude,Longitude
Sierra Pacific Power Co,North Valmy,NV,Humboldt,277.2,Conventional Steam Coal,40.881317,-117.1516
Sierra Pacific Power Co,North Valmy,NV,Humboldt,289.8,Conventional Steam Coal,40.881317,-117.1516
"Nevada Gold Energy, LLC",TS Power Plant,NV,Eureka,242,Conventional Steam Coal,40.7461,-116.5297
The Amalgamated Sugar Co,Amalgamated Sugar Twin Falls,ID,Twin Falls,6.2,Conventional Steam Coal,42.5328,-114.4328
Los Angeles Department of Water & Power,Intermountain Power Project,UT,Millard,820,Conventional Steam Coal,39.509731,-112.5802
Los Angeles Department of Water & Power,Intermountain Power Project,UT,Millard,820,Conventional Steam Coal,39.509731,-112.5802
Arizona Electric Pwr Coop Inc,Apache Station,AZ,Cochise,204,Conventional Steam Coal,32.0603,-109.8931
Searles Valley Minerals Operations Inc.,Argus Cogen Plant,CA,San Bernardino,7.5,Conventional Steam Coal,35.765,-117.3833
Searles Valley Minerals Operations Inc.,Argus Cogen Plant,CA,San Bernardino,27.5,Conventional Steam Coal,35.765,-117.3833
Searles Valley Minerals Operations Inc.,Argus Cogen Plant,CA,San Bernardino,27.5,Conventional Steam Coal,35.765,-117.3833
Tucson Electric Power Co,Springerville,AZ,Apache,424.8,Conventional Steam Coal,34.3186,-109.1639
Tucson Electric Power Co,Springerville,AZ,Apache,424.8,Conventional Steam Coal,34.3186,-109.1639
Tucson Electric Power Co,Springerville,AZ,Apache,458.1,Conventional Steam Coal,34.3186,-109.1639
Tucson Electric Power Co,Springerville,AZ,Apache,458.1,Conventional Steam Coal,34.3186,-109.1639
Luminant Generation Company LLC,Martin Lake,TX,Rusk,793.2,Conventional Steam Coal,32.2606,-94.5706
Luminant Generation Company LLC,Martin Lake,TX,Rusk,793.2,Conventional Steam Coal,32.2606,-94.5706
Luminant Generation Company LLC,Martin Lake,TX,Rusk,793.2,Conventional Steam Coal,32.2606,-94.5706
Southwestern Electric Power Co,Pirkey,TX,Harrison,721,Conventional Steam Coal,32.4607,-94.4852
Public Service Co of Colorado,Hayden,CO,Routt,190,Conventional Steam Coal,40.4856,-107.185
Public Service Co of Colorado,Hayden,CO,Routt,275.4,Conventional Steam Coal,40.4856,-107.185
Southwestern Electric Power Co,Welsh,TX,Titus,558,Conventional Steam Coal,33.05522,-94.83999
Southwestern Electric Power Co,Welsh,TX,Titus,558,Conventional Steam Coal,33.05522,-94.83999
Salt River Project,Coronado,AZ,Apache,410.9,Conventional Steam Coal,34.5789,-109.2708
Salt River Project,Coronado,AZ,Apache,410.9,Conventional Steam Coal,34.5789,-109.2708
Southwestern Electric Power Co,John W Turk Jr Power Plant,AR,Hempstead,609,Conventional Steam Coal,33.649722,-93.81194
NRG Texas Power LLC,Limestone,TX,Limestone,893,Conventional Steam Coal,31.4219,-96.2525
NRG Texas Power LLC,Limestone,TX,Limestone,956.8,Conventional Steam Coal,31.4219,-96.2525
Luminant Generation Company LLC,Oak Grove (TX),TX,Robertson,916.8,Conventional Steam Coal,31.1803,-96.4866
